Type,Sample Name,S/W Version,Serial Number,Measurement Date and Time,Z-Average (d.nm),PdI,Sizes[1] (d.nm),Sizes[2] (d.nm),Sizes[3] (d.nm),Sizes[4] (d.nm),Sizes[5] (d.nm),Sizes[6] (d.nm),Sizes[7] (d.nm),Sizes[8] (d.nm),Sizes[9] (d.nm),Sizes[10] (d.nm),Sizes[11] (d.nm),Sizes[12] (d.nm),Sizes[13] (d.nm),Sizes[14] (d.nm),Sizes[15] (d.nm),Sizes[16] (d.nm),Sizes[17] (d.nm),Sizes[18] (d.nm),Sizes[19] (d.nm),Sizes[20] (d.nm),Sizes[21] (d.nm),Sizes[22] (d.nm),Sizes[23] (d.nm),Sizes[24] (d.nm),Sizes[25] (d.nm),Sizes[26] (d.nm),Sizes[27] (d.nm),Sizes[28] (d.nm),Sizes[29] (d.nm),Sizes[30] (d.nm),Sizes[31] (d.nm),Sizes[32] (d.nm),Sizes[33] (d.nm),Sizes[34] (d.nm),Sizes[35] (d.nm),Sizes[36] (d.nm),Sizes[37] (d.nm),Sizes[38] (d.nm),Sizes[39] (d.nm),Sizes[40] (d.nm),Sizes[41] (d.nm),Sizes[42] (d.nm),Sizes[43] (d.nm),Sizes[44] (d.nm),Sizes[45] (d.nm),Sizes[46] (d.nm),Sizes[47] (d.nm),Sizes[48] (d.nm),Sizes[49] (d.nm),Sizes[50] (d.nm),Sizes[51] (d.nm),Sizes[52] (d.nm),Sizes[53] (d.nm),Sizes[54] (d.nm),Sizes[55] (d.nm),Sizes[56] (d.nm),Sizes[57] (d.nm),Sizes[58] (d.nm),Sizes[59] (d.nm),Sizes[60] (d.nm),Sizes[61] (d.nm),Sizes[62] (d.nm),Sizes[63] (d.nm),Sizes[64] (d.nm),Sizes[65] (d.nm),Sizes[66] (d.nm),Sizes[67] (d.nm),Sizes[68] (d.nm),Sizes[69] (d.nm),Sizes[70] (d.nm),Intensities[1] (Percent),Intensities[2] (Percent),Intensities[3] (Percent),Intensities[4] (Percent),Intensities[5] (Percent),Intensities[6] (Percent),Intensities[7] (Percent),Intensities[8] (Percent),Intensities[9] (Percent),Intensities[10] (Percent),Intensities[11] (Percent),Intensities[12] (Percent),Intensities[13] (Percent),Intensities[14] (Percent),Intensities[15] (Percent),Intensities[16] (Percent),Intensities[17] (Percent),Intensities[18] (Percent),Intensities[19] (Percent),Intensities[20] (Percent),Intensities[21] (Percent),Intensities[22] (Percent),Intensities[23] (Percent),Intensities[24] (Percent),Intensities[25] (Percent),Intensities[26] (Percent),Intensities[27] (Percent),Intensities[28] (Percent),Intensities[29] (Percent),Intensities[30] (Percent),Intensities[31] (Percent),Intensities[32] (Percent),Intensities[33] (Percent),Intensities[34] (Percent),Intensities[35] (Percent),Intensities[36] (Percent),Intensities[37] (Percent),Intensities[38] (Percent),Intensities[39] (Percent),Intensities[40] (Percent),Intensities[41] (Percent),Intensities[42] (Percent),Intensities[43] (Percent),Intensities[44] (Percent),Intensities[45] (Percent),Intensities[46] (Percent),Intensities[47] (Percent),Intensities[48] (Percent),Intensities[49] (Percent),Intensities[50] (Percent),Intensities[51] (Percent),Intensities[52] (Percent),Intensities[53] (Percent),Intensities[54] (Percent),Intensities[55] (Percent),Intensities[56] (Percent),Intensities[57] (Percent),Intensities[58] (Percent),Intensities[59] (Percent),Intensities[60] (Percent),Intensities[61] (Percent),Intensities[62] (Percent),Intensities[63] (Percent),Intensities[64] (Percent),Intensities[65] (Percent),Intensities[66] (Percent),Intensities[67] (Percent),Intensities[68] (Percent),Intensities[69] (Percent),Intensities[70] (Percent),Volumes[1] (Percent),Volumes[2] (Percent),Volumes[3] (Percent),Volumes[4] (Percent),Volumes[5] (Percent),Volumes[6] (Percent),Volumes[7] (Percent),Volumes[8] (Percent),Volumes[9] (Percent),Volumes[10] (Percent),Volumes[11] (Percent),Volumes[12] (Percent),Volumes[13] (Percent),Volumes[14] (Percent),Volumes[15] (Percent),Volumes[16] (Percent),Volumes[17] (Percent),Volumes[18] (Percent),Volumes[19] (Percent),Volumes[20] (Percent),Volumes[21] (Percent),Volumes[22] (Percent),Volumes[23] (Percent),Volumes[24] (Percent),Volumes[25] (Percent),Volumes[26] (Percent),Volumes[27] (Percent),Volumes[28] (Percent),Volumes[29] (Percent),Volumes[30] (Percent),Volumes[31] (Percent),Volumes[32] (Percent),Volumes[33] (Percent),Volumes[34] (Percent),Volumes[35] (Percent),Volumes[36] (Percent),Volumes[37] (Percent),Volumes[38] (Percent),Volumes[39] (Percent),Volumes[40] (Percent),Volumes[41] (Percent),Volumes[42] (Percent),Volumes[43] (Percent),Volumes[44] (Percent),Volumes[45] (Percent),Volumes[46] (Percent),Volumes[47] (Percent),Volumes[48] (Percent),Volumes[49] (Percent),Volumes[50] (Percent),Volumes[51] (Percent),Volumes[52] (Percent),Volumes[53] (Percent),Volumes[54] (Percent),Volumes[55] (Percent),Volumes[56] (Percent),Volumes[57] (Percent),Volumes[58] (Percent),Volumes[59] (Percent),Volumes[60] (Percent),Volumes[61] (Percent),Volumes[62] (Percent),Volumes[63] (Percent),Volumes[64] (Percent),Volumes[65] (Percent),Volumes[66] (Percent),Volumes[67] (Percent),Volumes[68] (Percent),Volumes[69] (Percent),Volumes[70] (Percent)
Size,SeNP_only_15min 1,8.02,MAL1086566,"Friday, May 2, 2025 11:22:35 AM",49.25,0.051,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,1.00E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.1,13.4,19.3,21.3,18.7,12.7,6,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.4,15.7,22.2,21.6,16.2,9.8,4.8,1.8,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,SeNP_only_15min 2,8.02,MAL1086566,"Friday, May 2, 2025 11:25:08 AM",47.61,0.032,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,1.00E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,7.2,15.4,21.5,22.5,18.1,10.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,6.8,16.8,23.3,22,15.8,8.9,3.9,1.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Type,Sample Name,S/W Version,Serial Number,Measurement Date and Time,Z-Average (d.nm),PdI,Sizes[1] (d.nm),Sizes[2] (d.nm),Sizes[3] (d.nm),Sizes[4] (d.nm),Sizes[5] (d.nm),Sizes[6] (d.nm),Sizes[7] (d.nm),Sizes[8] (d.nm),Sizes[9] (d.nm),Sizes[10] (d.nm),Sizes[11] (d.nm),Sizes[12] (d.nm),Sizes[13] (d.nm),Sizes[14] (d.nm),Sizes[15] (d.nm),Sizes[16] (d.nm),Sizes[17] (d.nm),Sizes[18] (d.nm),Sizes[19] (d.nm),Sizes[20] (d.nm),Sizes[21] (d.nm),Sizes[22] (d.nm),Sizes[23] (d.nm),Sizes[24] (d.nm),Sizes[25] (d.nm),Sizes[26] (d.nm),Sizes[27] (d.nm),Sizes[28] (d.nm),Sizes[29] (d.nm),Sizes[30] (d.nm),Sizes[31] (d.nm),Sizes[32] (d.nm),Sizes[33] (d.nm),Sizes[34] (d.nm),Sizes[35] (d.nm),Sizes[36] (d.nm),Sizes[37] (d.nm),Sizes[38] (d.nm),Sizes[39] (d.nm),Sizes[40] (d.nm),Sizes[41] (d.nm),Sizes[42] (d.nm),Sizes[43] (d.nm),Sizes[44] (d.nm),Sizes[45] (d.nm),Sizes[46] (d.nm),Sizes[47] (d.nm),Sizes[48] (d.nm),Sizes[49] (d.nm),Sizes[50] (d.nm),Sizes[51] (d.nm),Sizes[52] (d.nm),Sizes[53] (d.nm),Sizes[54] (d.nm),Sizes[55] (d.nm),Sizes[56] (d.nm),Sizes[57] (d.nm),Sizes[58] (d.nm),Sizes[59] (d.nm),Sizes[60] (d.nm),Sizes[61] (d.nm),Sizes[62] (d.nm),Sizes[63] (d.nm),Sizes[64] (d.nm),Sizes[65] (d.nm),Sizes[66] (d.nm),Sizes[67] (d.nm),Sizes[68] (d.nm),Sizes[69] (d.nm),Sizes[70] (d.nm),Intensities[1] (Percent),Intensities[2] (Percent),Intensities[3] (Percent),Intensities[4] (Percent),Intensities[5] (Percent),Intensities[6] (Percent),Intensities[7] (Percent),Intensities[8] (Percent),Intensities[9] (Percent),Intensities[10] (Percent),Intensities[11] (Percent),Intensities[12] (Percent),Intensities[13] (Percent),Intensities[14] (Percent),Intensities[15] (Percent),Intensities[16] (Percent),Intensities[17] (Percent),Intensities[18] (Percent),Intensities[19] (Percent),Intensities[20] (Percent),Intensities[21] (Percent),Intensities[22] (Percent),Intensities[23] (Percent),Intensities[24] (Percent),Intensities[25] (Percent),Intensities[26] (Percent),Intensities[27] (Percent),Intensities[28] (Percent),Intensities[29] (Percent),Intensities[30] (Percent),Intensities[31] (Percent),Intensities[32] (Percent),Intensities[33] (Percent),Intensities[34] (Percent),Intensities[35] (Percent),Intensities[36] (Percent),Intensities[37] (Percent),Intensities[38] (Percent),Intensities[39] (Percent),Intensities[40] (Percent),Intensities[41] (Percent),Intensities[42] (Percent),Intensities[43] (Percent),Intensities[44] (Percent),Intensities[45] (Percent),Intensities[46] (Percent),Intensities[47] (Percent),Intensities[48] (Percent),Intensities[49] (Percent),Intensities[50] (Percent),Intensities[51] (Percent),Intensities[52] (Percent),Intensities[53] (Percent),Intensities[54] (Percent),Intensities[55] (Percent),Intensities[56] (Percent),Intensities[57] (Percent),Intensities[58] (Percent),Intensities[59] (Percent),Intensities[60] (Percent),Intensities[61] (Percent),Intensities[62] (Percent),Intensities[63] (Percent),Intensities[64] (Percent),Intensities[65] (Percent),Intensities[66] (Percent),Intensities[67] (Percent),Intensities[68] (Percent),Intensities[69] (Percent),Intensities[70] (Percent),Volumes[1] (Percent),Volumes[2] (Percent),Volumes[3] (Percent),Volumes[4] (Percent),Volumes[5] (Percent),Volumes[6] (Percent),Volumes[7] (Percent),Volumes[8] (Percent),Volumes[9] (Percent),Volumes[10] (Percent),Volumes[11] (Percent),Volumes[12] (Percent),Volumes[13] (Percent),Volumes[14] (Percent),Volumes[15] (Percent),Volumes[16] (Percent),Volumes[17] (Percent),Volumes[18] (Percent),Volumes[19] (Percent),Volumes[20] (Percent),Volumes[21] (Percent),Volumes[22] (Percent),Volumes[23] (Percent),Volumes[24] (Percent),Volumes[25] (Percent),Volumes[26] (Percent),Volumes[27] (Percent),Volumes[28] (Percent),Volumes[29] (Percent),Volumes[30] (Percent),Volumes[31] (Percent),Volumes[32] (Percent),Volumes[33] (Percent),Volumes[34] (Percent),Volumes[35] (Percent),Volumes[36] (Percent),Volumes[37] (Percent),Volumes[38] (Percent),Volumes[39] (Percent),Volumes[40] (Percent),Volumes[41] (Percent),Volumes[42] (Percent),Volumes[43] (Percent),Volumes[44] (Percent),Volumes[45] (Percent),Volumes[46] (Percent),Volumes[47] (Percent),Volumes[48] (Percent),Volumes[49] (Percent),Volumes[50] (Percent),Volumes[51] (Percent),Volumes[52] (Percent),Volumes[53] (Percent),Volumes[54] (Percent),Volumes[55] (Percent),Volumes[56] (Percent),Volumes[57] (Percent),Volumes[58] (Percent),Volumes[59] (Percent),Volumes[60] (Percent),Volumes[61] (Percent),Volumes[62] (Percent),Volumes[63] (Percent),Volumes[64] (Percent),Volumes[65] (Percent),Volumes[66] (Percent),Volumes[67] (Percent),Volumes[68] (Percent),Volumes[69] (Percent),Volumes[70] (Percent)
Size,extract_only_15min 1,8.02,MAL1086566,"Friday, May 2, 2025 11:30:23 AM",42.02,0.438,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,1.00E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,1.2,2.3,3.5,4.6,5.4,5.9,6.1,6,5.6,5.2,4.8,4.4,4.1,4,3.9,3.9,3.9,3.9,3.8,3.6,3.3,2.9,2.4,1.8,1.3,0.9,0.5,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2.8,7.8,12.9,15.6,15.4,13.3,10.4,7.5,5.1,3.3,2,1.2,0.8,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,extract_only_15min 2,8.02,MAL1086566,"Friday, May 2, 2025 11:32:26 AM",41.89,0.455,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,1.00E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,1.4,2.7,4,5.2,6,6.4,6.3,5.8,5,4.2,3.5,3.1,2.9,3,3.3,3.7,4.1,4.4,4.5,4.4,4.1,3.6,2.9,2.2,1.4,0.8,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2.8,7.8,13.2,16.2,16,13.7,10.5,7.3,4.8,2.9,1.7,0.9,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Type,Sample Name,S/W Version,Serial Number,Measurement Date and Time,Z-Average (d.nm),PdI,Sizes[1] (d.nm),Sizes[2] (d.nm),Sizes[3] (d.nm),Sizes[4] (d.nm),Sizes[5] (d.nm),Sizes[6] (d.nm),Sizes[7] (d.nm),Sizes[8] (d.nm),Sizes[9] (d.nm),Sizes[10] (d.nm),Sizes[11] (d.nm),Sizes[12] (d.nm),Sizes[13] (d.nm),Sizes[14] (d.nm),Sizes[15] (d.nm),Sizes[16] (d.nm),Sizes[17] (d.nm),Sizes[18] (d.nm),Sizes[19] (d.nm),Sizes[20] (d.nm),Sizes[21] (d.nm),Sizes[22] (d.nm),Sizes[23] (d.nm),Sizes[24] (d.nm),Sizes[25] (d.nm),Sizes[26] (d.nm),Sizes[27] (d.nm),Sizes[28] (d.nm),Sizes[29] (d.nm),Sizes[30] (d.nm),Sizes[31] (d.nm),Sizes[32] (d.nm),Sizes[33] (d.nm),Sizes[34] (d.nm),Sizes[35] (d.nm),Sizes[36] (d.nm),Sizes[37] (d.nm),Sizes[38] (d.nm),Sizes[39] (d.nm),Sizes[40] (d.nm),Sizes[41] (d.nm),Sizes[42] (d.nm),Sizes[43] (d.nm),Sizes[44] (d.nm),Sizes[45] (d.nm),Sizes[46] (d.nm),Sizes[47] (d.nm),Sizes[48] (d.nm),Sizes[49] (d.nm),Sizes[50] (d.nm),Sizes[51] (d.nm),Sizes[52] (d.nm),Sizes[53] (d.nm),Sizes[54] (d.nm),Sizes[55] (d.nm),Sizes[56] (d.nm),Sizes[57] (d.nm),Sizes[58] (d.nm),Sizes[59] (d.nm),Sizes[60] (d.nm),Sizes[61] (d.nm),Sizes[62] (d.nm),Sizes[63] (d.nm),Sizes[64] (d.nm),Sizes[65] (d.nm),Sizes[66] (d.nm),Sizes[67] (d.nm),Sizes[68] (d.nm),Sizes[69] (d.nm),Sizes[70] (d.nm),Intensities[1] (Percent),Intensities[2] (Percent),Intensities[3] (Percent),Intensities[4] (Percent),Intensities[5] (Percent),Intensities[6] (Percent),Intensities[7] (Percent),Intensities[8] (Percent),Intensities[9] (Percent),Intensities[10] (Percent),Intensities[11] (Percent),Intensities[12] (Percent),Intensities[13] (Percent),Intensities[14] (Percent),Intensities[15] (Percent),Intensities[16] (Percent),Intensities[17] (Percent),Intensities[18] (Percent),Intensities[19] (Percent),Intensities[20] (Percent),Intensities[21] (Percent),Intensities[22] (Percent),Intensities[23] (Percent),Intensities[24] (Percent),Intensities[25] (Percent),Intensities[26] (Percent),Intensities[27] (Percent),Intensities[28] (Percent),Intensities[29] (Percent),Intensities[30] (Percent),Intensities[31] (Percent),Intensities[32] (Percent),Intensities[33] (Percent),Intensities[34] (Percent),Intensities[35] (Percent),Intensities[36] (Percent),Intensities[37] (Percent),Intensities[38] (Percent),Intensities[39] (Percent),Intensities[40] (Percent),Intensities[41] (Percent),Intensities[42] (Percent),Intensities[43] (Percent),Intensities[44] (Percent),Intensities[45] (Percent),Intensities[46] (Percent),Intensities[47] (Percent),Intensities[48] (Percent),Intensities[49] (Percent),Intensities[50] (Percent),Intensities[51] (Percent),Intensities[52] (Percent),Intensities[53] (Percent),Intensities[54] (Percent),Intensities[55] (Percent),Intensities[56] (Percent),Intensities[57] (Percent),Intensities[58] (Percent),Intensities[59] (Percent),Intensities[60] (Percent),Intensities[61] (Percent),Intensities[62] (Percent),Intensities[63] (Percent),Intensities[64] (Percent),Intensities[65] (Percent),Intensities[66] (Percent),Intensities[67] (Percent),Intensities[68] (Percent),Intensities[69] (Percent),Intensities[70] (Percent),Volumes[1] (Percent),Volumes[2] (Percent),Volumes[3] (Percent),Volumes[4] (Percent),Volumes[5] (Percent),Volumes[6] (Percent),Volumes[7] (Percent),Volumes[8] (Percent),Volumes[9] (Percent),Volumes[10] (Percent),Volumes[11] (Percent),Volumes[12] (Percent),Volumes[13] (Percent),Volumes[14] (Percent),Volumes[15] (Percent),Volumes[16] (Percent),Volumes[17] (Percent),Volumes[18] (Percent),Volumes[19] (Percent),Volumes[20] (Percent),Volumes[21] (Percent),Volumes[22] (Percent),Volumes[23] (Percent),Volumes[24] (Percent),Volumes[25] (Percent),Volumes[26] (Percent),Volumes[27] (Percent),Volumes[28] (Percent),Volumes[29] (Percent),Volumes[30] (Percent),Volumes[31] (Percent),Volumes[32] (Percent),Volumes[33] (Percent),Volumes[34] (Percent),Volumes[35] (Percent),Volumes[36] (Percent),Volumes[37] (Percent),Volumes[38] (Percent),Volumes[39] (Percent),Volumes[40] (Percent),Volumes[41] (Percent),Volumes[42] (Percent),Volumes[43] (Percent),Volumes[44] (Percent),Volumes[45] (Percent),Volumes[46] (Percent),Volumes[47] (Percent),Volumes[48] (Percent),Volumes[49] (Percent),Volumes[50] (Percent),Volumes[51] (Percent),Volumes[52] (Percent),Volumes[53] (Percent),Volumes[54] (Percent),Volumes[55] (Percent),Volumes[56] (Percent),Volumes[57] (Percent),Volumes[58] (Percent),Volumes[59] (Percent),Volumes[60] (Percent),Volumes[61] (Percent),Volumes[62] (Percent),Volumes[63] (Percent),Volumes[64] (Percent),Volumes[65] (Percent),Volumes[66] (Percent),Volumes[67] (Percent),Volumes[68] (Percent),Volumes[69] (Percent),Volumes[70] (Percent)
Size,Se_0.5mg/mL_15min 1,8.02,MAL1086566,"Friday, May 2, 2025 11:37:43 AM",46.95,0.055,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,1.00E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.9,15.3,19.5,19.9,16.5,10.8,5,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,10.9,19.4,22.1,19,13.2,7.5,3.5,1.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,Se_0.5mg/mL_15min 2,8.02,MAL1086566,"Friday, May 2, 2025 11:40:06 AM",46.43,0.067,0.4,0.4632,0.5365,0.6213,0.7195,0.8332,0.9649,1.117,1.294,1.499,1.736,2.01,2.328,2.696,3.122,3.615,4.187,4.849,5.615,6.503,7.531,8.721,10.1,11.7,13.54,15.69,18.17,21.04,24.36,28.21,32.67,37.84,43.82,50.75,58.77,68.06,78.82,91.28,105.7,122.4,141.8,164.2,190.1,220.2,255,295.3,342,396.1,458.7,531.2,615.1,712.4,825,955.4,1106,1281,1484,1718,1990,2305,2669,3091,3580,4145,4801,5560,6439,7456,8635,1.00E+04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,4.2,9.6,14.8,18.1,18.3,15.6,10.9,5.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.6,13.7,19.8,20.3,16.6,11.4,6.6,3.3,1.3,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
